combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
1,0.62,0.61,0.1,0.1,4,100,10
2,0.61,0.6,0.1,0.1,4,200,10
3,0.62,0.61,0.1,0.1,7,100,10
4,0.61,0.6,0.1,0.1,7,200,10
5,0.62,0.61,0.1,0.1,10,100,10
6,0.61,0.6,0.1,0.1,10,200,10
7,0.63,0.62,0.1,0.15,4,100,10
8,0.61,0.61,0.1,0.15,4,200,10
9,0.63,0.62,0.1,0.15,7,100,10
10,0.61,0.61,0.1,0.15,7,200,10
11,0.63,0.62,0.1,0.15,10,100,10
12,0.61,0.61,0.1,0.15,10,200,10
13,0.67,0.66,0.1,0.1,4,100,50
14,0.66,0.65,0.1,0.1,4,200,50
15,0.67,0.66,0.1,0.1,7,100,50
16,0.66,0.65,0.1,0.1,7,200,50
17,0.67,0.66,0.1,0.1,10,100,50
18,0.66,0.65,0.1,0.1,10,200,50
19,0.69,0.69,0.1,0.15,4,100,50
20,0.68,0.67,0.1,0.15,4,200,50
21,0.69,0.69,0.1,0.15,7,100,50
22,0.68,0.67,0.1,0.15,7,200,50
23,0.69,0.69,0.1,0.15,10,100,50
24,0.68,0.67,0.1,0.15,10,200,50
25,0.71,0.7,0.1,0.1,4,100,100
26,0.69,0.69,0.1,0.1,4,200,100
27,0.71,0.7,0.1,0.1,7,100,100
28,0.69,0.69,0.1,0.1,7,200,100
29,0.71,0.7,0.1,0.1,10,100,100
30,0.69,0.69,0.1,0.1,10,200,100
31,0.73,0.72,0.1,0.15,4,100,100
32,0.71,0.71,0.1,0.15,4,200,100
33,0.73,0.72,0.1,0.15,7,100,100
34,0.71,0.71,0.1,0.15,7,200,100
35,0.73,0.72,0.1,0.15,10,100,100
36,0.71,0.71,0.1,0.15,10,200,100
37,0.69,0.68,0.3,0.1,4,100,10
38,0.68,0.67,0.3,0.1,4,200,10
39,0.69,0.68,0.3,0.1,7,100,10
40,0.68,0.67,0.3,0.1,7,200,10
41,0.69,0.68,0.3,0.1,10,100,10
42,0.68,0.67,0.3,0.1,10,200,10
43,0.7,0.69,0.3,0.15,4,100,10
44,0.69,0.68,0.3,0.15,4,200,10
45,0.7,0.69,0.3,0.15,7,100,10
46,0.69,0.68,0.3,0.15,7,200,10
47,0.7,0.69,0.3,0.15,10,100,10
48,0.69,0.68,0.3,0.15,10,200,10
49,0.73,0.72,0.3,0.1,4,100,50
50,0.72,0.71,0.3,0.1,4,200,50
51,0.74,0.73,0.3,0.1,7,100,50
52,0.72,0.71,0.3,0.1,7,200,50
53,0.74,0.73,0.3,0.1,10,100,50
54,0.72,0.71,0.3,0.1,10,200,50
55,0.75,0.74,0.3,0.15,4,100,50
56,0.74,0.73,0.3,0.15,4,200,50
57,0.75,0.75,0.3,0.15,7,100,50
58,0.74,0.73,0.3,0.15,7,200,50
59,0.76,0.75,0.3,0.15,10,100,50
60,0.74,0.73,0.3,0.15,10,200,50
61,0.76,0.75,0.3,0.1,4,100,100
62,0.74,0.74,0.3,0.1,4,200,100
63,0.76,0.75,0.3,0.1,7,100,100
64,0.75,0.74,0.3,0.1,7,200,100
65,0.77,0.75,0.3,0.1,10,100,100
66,0.75,0.74,0.3,0.1,10,200,100
67,0.77,0.76,0.3,0.15,4,100,100
68,0.75,0.75,0.3,0.15,4,200,100
69,0.77,0.76,0.3,0.15,7,100,100
70,0.76,0.75,0.3,0.15,7,200,100
71,0.77,0.76,0.3,0.15,10,100,100
72,0.76,0.75,0.3,0.15,10,200,100
73,0.72,0.71,0.5,0.1,4,100,10
74,0.71,0.7,0.5,0.1,4,200,10
75,0.73,0.72,0.5,0.1,7,100,10
76,0.71,0.71,0.5,0.1,7,200,10
77,0.73,0.72,0.5,0.1,10,100,10
78,0.71,0.71,0.5,0.1,10,200,10
79,0.72,0.72,0.5,0.15,4,100,10
80,0.71,0.71,0.5,0.15,4,200,10
81,0.73,0.73,0.5,0.15,7,100,10
82,0.72,0.71,0.5,0.15,7,200,10
83,0.73,0.73,0.5,0.15,10,100,10
84,0.72,0.72,0.5,0.15,10,200,10
85,0.75,0.75,0.5,0.1,4,100,50
86,0.74,0.74,0.5,0.1,4,200,50
87,0.76,0.75,0.5,0.1,7,100,50
88,0.75,0.74,0.5,0.1,7,200,50
89,0.76,0.75,0.5,0.1,10,100,50
90,0.75,0.74,0.5,0.1,10,200,50
91,0.76,0.76,0.5,0.15,4,100,50
92,0.75,0.74,0.5,0.15,4,200,50
93,0.77,0.76,0.5,0.15,7,100,50
94,0.76,0.75,0.5,0.15,7,200,50
95,0.77,0.76,0.5,0.15,10,100,50
96,0.76,0.75,0.5,0.15,10,200,50
97,0.77,0.76,0.5,0.1,4,100,100
98,0.76,0.75,0.5,0.1,4,200,100
99,0.78,0.77,0.5,0.1,7,100,100
100,0.76,0.75,0.5,0.1,7,200,100
101,0.78,0.76,0.5,0.1,10,100,100
102,0.76,0.75,0.5,0.1,10,200,100
103,0.77,0.77,0.5,0.15,4,100,100
104,0.76,0.75,0.5,0.15,4,200,100
105,0.78,0.77,0.5,0.15,7,100,100
106,0.76,0.76,0.5,0.15,7,200,100
107,0.78,0.77,0.5,0.15,10,100,100
108,0.77,0.76,0.5,0.15,10,200,100
