combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
1,0.61,0.6,0.1,0.001,4,100,10
2,0.61,0.6,0.1,0.001,4,200,10
3,0.61,0.6,0.1,0.001,7,100,10
4,0.61,0.6,0.1,0.001,7,200,10
5,0.61,0.6,0.1,0.001,10,100,10
6,0.61,0.6,0.1,0.001,10,200,10
7,0.62,0.61,0.1,0.1,4,100,10
8,0.61,0.6,0.1,0.1,4,200,10
9,0.62,0.61,0.1,0.1,7,100,10
10,0.61,0.6,0.1,0.1,7,200,10
11,0.62,0.61,0.1,0.1,10,100,10
12,0.61,0.6,0.1,0.1,10,200,10
13,0.63,0.62,0.1,0.15,4,100,10
14,0.61,0.61,0.1,0.15,4,200,10
15,0.63,0.62,0.1,0.15,7,100,10
16,0.61,0.61,0.1,0.15,7,200,10
17,0.63,0.62,0.1,0.15,10,100,10
18,0.61,0.61,0.1,0.15,10,200,10
19,0.61,0.6,0.1,0.001,4,100,50
20,0.61,0.6,0.1,0.001,4,200,50
21,0.61,0.6,0.1,0.001,7,100,50
22,0.61,0.6,0.1,0.001,7,200,50
23,0.61,0.6,0.1,0.001,10,100,50
24,0.61,0.6,0.1,0.001,10,200,50
25,0.67,0.66,0.1,0.1,4,100,50
26,0.66,0.65,0.1,0.1,4,200,50
27,0.67,0.66,0.1,0.1,7,100,50
28,0.66,0.65,0.1,0.1,7,200,50
29,0.67,0.66,0.1,0.1,10,100,50
30,0.66,0.65,0.1,0.1,10,200,50
31,0.69,0.69,0.1,0.15,4,100,50
32,0.68,0.67,0.1,0.15,4,200,50
33,0.69,0.69,0.1,0.15,7,100,50
34,0.68,0.67,0.1,0.15,7,200,50
35,0.69,0.69,0.1,0.15,10,100,50
36,0.68,0.67,0.1,0.15,10,200,50
37,0.61,0.6,0.1,0.001,4,100,100
38,0.61,0.6,0.1,0.001,4,200,100
39,0.61,0.6,0.1,0.001,7,100,100
40,0.61,0.6,0.1,0.001,7,200,100
41,0.61,0.6,0.1,0.001,10,100,100
42,0.61,0.6,0.1,0.001,10,200,100
43,0.71,0.7,0.1,0.1,4,100,100
44,0.69,0.69,0.1,0.1,4,200,100
45,0.71,0.7,0.1,0.1,7,100,100
46,0.69,0.69,0.1,0.1,7,200,100
47,0.71,0.7,0.1,0.1,10,100,100
48,0.69,0.69,0.1,0.1,10,200,100
49,0.73,0.72,0.1,0.15,4,100,100
50,0.71,0.71,0.1,0.15,4,200,100
51,0.73,0.72,0.1,0.15,7,100,100
52,0.71,0.71,0.1,0.15,7,200,100
53,0.73,0.72,0.1,0.15,10,100,100
54,0.71,0.71,0.1,0.15,10,200,100
55,0.67,0.67,0.3,0.001,4,100,10
56,0.66,0.65,0.3,0.001,4,200,10
57,0.67,0.67,0.3,0.001,7,100,10
58,0.66,0.65,0.3,0.001,7,200,10
59,0.68,0.67,0.3,0.001,10,100,10
60,0.66,0.65,0.3,0.001,10,200,10
61,0.69,0.68,0.3,0.1,4,100,10
62,0.68,0.67,0.3,0.1,4,200,10
63,0.69,0.68,0.3,0.1,7,100,10
64,0.68,0.67,0.3,0.1,7,200,10
65,0.69,0.68,0.3,0.1,10,100,10
66,0.68,0.67,0.3,0.1,10,200,10
67,0.7,0.69,0.3,0.15,4,100,10
68,0.69,0.68,0.3,0.15,4,200,10
69,0.7,0.69,0.3,0.15,7,100,10
70,0.69,0.68,0.3,0.15,7,200,10
71,0.7,0.69,0.3,0.15,10,100,10
72,0.69,0.68,0.3,0.15,10,200,10
73,0.66,0.66,0.3,0.001,4,100,50
74,0.66,0.65,0.3,0.001,4,200,50
75,0.67,0.66,0.3,0.001,7,100,50
